times,flux,flux_err
3.226052158816218707e+03,1.000462174415588379e+00,8.555122102388499879e-04
3.226054473742190567e+03,1.000432133674621582e+00,8.555122102388499879e-04
3.226056788668628542e+03,9.998894929885864258e-01,8.555122102388499879e-04
3.226059103594600401e+03,1.000705003738403320e+00,8.555122102388499879e-04
3.226061418520572261e+03,1.000410676002502441e+00,8.555122102388499879e-04
3.226063733446544575e+03,9.987590312957763672e-01,8.555122102388499879e-04
3.226066048372516889e+03,9.992198944091796875e-01,8.555122102388499879e-04
3.226068363298953955e+03,1.001995444297790527e+00,8.555122102388499879e-04
3.226070678224925814e+03,1.000263094902038574e+00,8.555122102388499879e-04
3.226072993150898583e+03,9.992141723632812500e-01,8.555122102388499879e-04
3.226075308076870442e+03,9.995625615119934082e-01,8.555122102388499879e-04
3.226077623002842302e+03,9.996899962425231934e-01,8.555122102388499879e-04
3.226079937928814616e+03,9.986199140548706055e-01,8.555122102388499879e-04
3.226082252854786930e+03,9.998655319213867188e-01,8.555122102388499879e-04
3.226084567780758334e+03,9.999282956123352051e-01,8.555122102388499879e-04
3.226086882706730648e+03,1.001491069793701172e+00,8.555122102388499879e-04
3.226089197632236392e+03,9.999732971191406250e-01,8.555122102388499879e-04
3.226091512558209615e+03,1.000212311744689941e+00,8.555122102388499879e-04
3.226093827484181020e+03,1.000964283943176270e+00,8.555122102388499879e-04
3.226096142410153334e+03,9.997029304504394531e-01,8.555122102388499879e-04
3.226098457336125648e+03,9.988535642623901367e-01,8.555122102388499879e-04
3.226100772262097507e+03,9.990410208702087402e-01,8.555122102388499879e-04
3.226103087187603705e+03,9.999682307243347168e-01,8.555122102388499879e-04
3.226105402113575565e+03,9.990777969360351562e-01,8.555122102388499879e-04
3.226107717039548334e+03,9.995305538177490234e-01,8.555122102388499879e-04
3.226110031965054532e+03,9.994965195655822754e-01,8.555122102388499879e-04
3.226112346891026391e+03,1.001077651977539062e+00,8.555122102388499879e-04
3.226114661816533044e+03,9.998364448547363281e-01,8.555122102388499879e-04
3.226116976742504448e+03,1.000505805015563965e+00,8.555122102388499879e-04
3.226119291668476762e+03,1.000337839126586914e+00,8.555122102388499879e-04
3.226121606593983415e+03,9.998888969421386719e-01,8.555122102388499879e-04
3.226123921519955729e+03,9.992648959159851074e-01,8.555122102388499879e-04
3.226126236445461927e+03,9.988724589347839355e-01,8.555122102388499879e-04
3.226128551370968580e+03,1.000527024269104004e+00,8.555122102388499879e-04
3.226130866296939985e+03,9.995622634887695312e-01,8.555122102388499879e-04
3.226133181222446638e+03,9.994742870330810547e-01,8.555122102388499879e-04
3.226135496148418497e+03,9.992963671684265137e-01,8.555122102388499879e-04
3.226137811073924695e+03,1.000514745712280273e+00,8.555122102388499879e-04
3.226140125999432712e+03,9.977089762687683105e-01,8.555122102388499879e-04
3.226142440925405026e+03,1.000550150871276855e+00,8.555122102388499879e-04
3.226144755850911679e+03,9.990335106849670410e-01,8.555122102388499879e-04
3.226147070776417877e+03,9.995642304420471191e-01,8.555122102388499879e-04
3.226149385701924530e+03,9.993577003479003906e-01,8.555122102388499879e-04
3.226151700627430728e+03,9.977743625640869141e-01,8.555122102388499879e-04
